"Country","Population","Ranking population"
Germany,83294633,1
United Kingdom,67736802,2
France,64756584,3
Italy,58870762,4
Spain,47519628,5
Poland,41026067,6
Ukraine,36744634,7
Romania,19892812,8
Netherlands,17618299,9
Belgium,11686140,10
Sweden,10612086,11
Czech Republic,10495295,12
Greece,10341277,13
Portugal,10247605,14
Hungary,10156239,15
Belarus,9498238,16
Austria,8958960,17
Switzerland,8796669,18
Serbia,7149077,19
Bulgaria,6687717,20
Denmark,5910913,21
Slovakia,5795199,22
Finland,5545475,23
Norway,5474360,24
Ireland,5056935,25
Croatia,4008617,26
Moldova,3435931,27
Bosnia and Herzegovina,3210847,28
Albania,2832439,29
Lithuania,2718352,30
Slovenia,2119675,31
North Macedonia,2085679,32
Latvia,1830211,33
Estonia,1322765,34
Luxembourg,654768,35
Montenegro,626485,36
Malta,535064,37
Iceland,375318,38
Andorra,80088,39
Liechtenstein,39584,40
Monaco,36297,41
San Marino,33642,42
